Province,Country,Lat,Long
Gibraltar,United Kingdom,36.1408,-5.3536
"Kitsap, WA",US,47.6477,-122.6413
"Solano, CA",US,38.3105,-121.9018
"Santa Cruz, CA",US,37.0454,-121.958
"Napa, CA",US,38.5025,-122.2654
"Ventura, CA",US,34.3705,-119.1391
"Worcester, MA",US,42.4097,-71.8571
"Gwinnett, GA",US,33.9191,-84.0167
"DeKalb, GA",US,33.7956,-84.2279
"Floyd, GA",US,37.5455,-82.7779
"Fayette, GA",US,33.4502,-84.4803
"Gregg, TX",US,32.4893,-94.8521
"Monmouth, NJ",US,40.2589,-74.124
"Burlington, NJ",US,40.0712,-74.8649
"Camden, NJ",US,39.9259,-75.1196
"Passaic, NJ",US,40.8568,-74.1285
"Union, NJ",US,40.6976,-74.2632
"Eagle, CO",US,39.6553,-106.8287
"Larimer, CO",US,40.6956,-105.5943
"Arapahoe, CO",US,39.6203,-104.3326
"Gunnison, CO",US,38.5458,-106.9253
"Kane, IL",US,41.9879,-88.4016
"Monroe, PA",US,41.0458,-75.2479
"Philadelphia, PA",US,39.9526,-75.1652
"Norfolk, VA",US,36.8508,-76.2859
"Arlington, VA",US,38.8816,-77.09100000000001
"Spotsylvania, VA",US,38.2042,-77.6078
"Loudoun, VA",US,39.0768,-77.6536
"Prince George's, MD",US,38.7849,-76.8721
"Pottawattamie, IA",US,41.3912,-95.4778
"Camden, NC",US,34.2465,-80.607
"Pima, AZ",US,32.0575,-111.6661
"Noble, IN",US,41.4277,-85.355
"Adams, IN",US,39.8522,-77.2865
"Boone, IN",US,40.0106,-86.4997
"Dane, WI",US,43.0186,-89.5498
"Pierce, WI",US,44.7509,-92.3814
"Cuyahoga, OH",US,41.4339,-81.6758
"Weber, UT",US,41.2603,-111.9522
"Bennington County, VT",US,43.0279,-73.135
"Carver County, MN",US,44.8254,-93.7842
"Charlotte County, FL",US,26.8946,-81.9098
"Cherokee County, GA",US,34.2515,-84.4803
"Collin County, TX",US,33.1795,-96.493
"Jefferson County, KY",US,38.1938,-85.6435
"Jefferson Parish, LA",US,29.6499,-90.1121
"Shasta County, CA",US,40.7909,-121.8474
"Spartanburg County, SC",US,34.8606,-81.9535
"Harrison County, KY",US,38.4333,-84.3542
"Johnson County, IA",US,41.6699,-91.5984
"Berkshire County, MA",US,42.3118,-73.1822
"Davidson County, TN",US,36.1343,-86.822
"Douglas County, OR",US,43.1261,-123.2492
"Fresno County, CA",US,36.9859,-119.2321
"Harford County, MD",US,39.5839,-76.3637
"Hendricks County, IN",US,39.8065,-86.5401
"Hudson County, NJ",US,40.7453,-74.0535
"Johnson County, KS",US,38.8454,-94.8521
"Kittitas County, WA",US,47.175,-120.9319
"Manatee County, FL",US,27.4799,-82.3452
"Marion County, OR",US,44.8446,-122.5927
"Okaloosa County, FL",US,30.5773,-86.6611
"Polk County, GA",US,34.0132,-85.1479
"Riverside County, CA",US,33.9533,-117.3961
"Shelby County, TN",US,35.1269,-89.9253
"St. Louis County, MO",US,38.6103,-90.4125
"Suffolk County, NY",US,40.9849,-72.6151
"Ulster County, NY",US,41.8586,-74.3118
"Volusia County, FL",US,29.028000000000002,-81.0755
"Fairfax County, VA",US,38.9085,-77.2405
"Rockingham County, NH",US,42.9931,-71.0498
"Washington, D.C.",US,38.9072,-77.0369
"Montgomery County, PA",US,40.229,-75.3879
"Alameda County, CA",US,37.6017,-121.7195
"Broward County, FL",US,26.1901,-80.3659
"Lee County, FL",US,26.663,-81.9535
"Pinal County, AZ",US,32.8162,-111.2845
"Rockland County, NY",US,41.1489,-73.983
"Saratoga County, NY",US,43.0324,-73.936
"Charleston County, SC",US,32.7957,-79.7848
"Clark County, WA",US,45.7466,-122.5194
"Cobb County, GA",US,33.8999,-84.5641
"Davis County, UT",US,40.9629,-112.0953
"El Paso County, CO",US,38.9108,-104.4723
"Honolulu County, HI",US,21.307,-157.8584
"Jackson County, OR ",US,42.3345,-122.7647
"Jefferson County, WA",US,47.7425,-123.304
"Kershaw County, SC",US,34.3672,-80.5883
"Klamath County, OR",US,42.6953,-121.6142
"Madera County, CA",US,37.2519,-119.6963
"Pierce County, WA",US,47.0676,-122.1295
"Tulsa County, OK",US,36.1593,-95.941
"Douglas County, CO",US,39.2587,-104.9389
"Providence County, RI",US,41.8882,-71.4774
"Chatham County, NC",US,35.7211,-79.1781
"Delaware County, PA",US,39.9078,-75.3879
"Douglas County, NE",US,41.3148,-96.1951
"Fayette County, KY",US,38.0606,-84.4803
"Marion County, IN",US,39.8362,-86.1752
"Middlesex County, MA",US,42.4672,-71.2874
"Nassau County, NY",US,40.6546,-73.5594
"Ramsey County, MN",US,44.9964,-93.0616
"Washoe County, NV",US,40.5608,-119.6035
"Wayne County, PA",US,41.6739,-75.2479
"Yolo County, CA",US,38.7646,-121.9018
"Santa Clara County, CA",US,37.3541,-121.9552
"Clark County, NV",US,36.0796,-115.094
"Fort Bend County, TX",US,29.5693,-95.8143
"Grant County, WA",US,47.1981,-119.3732
"Santa Rosa County, FL",US,30.769000000000002,-86.9824
"Williamson County, TN",US,35.9179,-86.8622
"New York County, NY",US,40.7128,-74.006
"Montgomery County, MD",US,39.1547,-77.2405
"Suffolk County, MA",US,42.3601,-71.0589
"Denver County, CO",US,39.7392,-104.9903
"Summit County, CO",US,39.5912,-106.064
"Bergen County, NJ",US,40.9263,-74.077
"Harris County, TX",US,29.7752,-95.3103
"San Francisco County, CA",US,37.7749,-122.4194
"Contra Costa County, CA",US,37.8534,-121.9018
"Orange County, CA",US,33.7879,-117.8531
"Norfolk County, MA",US,42.1767,-71.1449
"Maricopa County, AZ",US,33.2918,-112.4291
"Wake County, NC",US,35.8032,-78.5661
"Westchester County, NY",US,41.122,-73.7949
"Grafton County, NH",US,43.9088,-71.82600000000001
"Hillsborough, FL",US,27.9904,-82.3018
"Placer County, CA",US,39.0916,-120.8039
"San Mateo, CA",US,37.563,-122.3255
"Sonoma County, CA",US,38.578,-122.9888
"Umatilla, OR",US,45.775,-118.7606
"Fulton County, GA",US,33.8034,-84.3963
"Washington County, OR",US,45.547,-123.1386
"Snohomish County, WA",US,48.033,-121.8339
"Humboldt County, CA",US,40.745,-123.8695
"Sacramento County, CA",US,38.4747,-121.3542
"San Diego County, CA",US,32.7157,-117.1611
"San Benito, CA",US,36.5761,-120.9876
"Los Angeles, CA",US,34.0522,-118.2437
"King County, WA",US,47.6062,-122.3321
"Cook County, IL",US,41.7377,-87.6976
"Skagit, WA",US,48.4242,-121.7114
"Thurston, WA",US,46.8646,-122.7696
"Island, WA",US,48.1976,-122.5795
"Whatcom, WA",US,48.8787,-121.9719
"Marin, CA",US,38.0834,-122.7633
"Calaveras, CA",US,38.196,-120.6805
"Stanislaus, CA",US,37.5091,-120.9876
"San Joaquin, CA",US,36.6066,-120.189
"Essex, MA",US,42.632,-70.7829
"Charlton, GA",US,30.7917,-82.0843
"Collier, FL",US,26.07,-81.4279
"Pinellas, FL",US,27.8764,-82.7779
"Alachua, FL",US,29.7938,-82.4944
"Nassau, FL",US,30.5927,-81.8224
"Pasco, FL",US,28.3232,-82.4319
"Dallas, TX",US,32.7767,-96.79700000000001
"Tarrant, TX",US,32.7732,-97.3517
"Montgomery, TX",US,30.3883,-95.6963
"Middlesex, NJ",US,40.5726,-74.4927
"Jefferson, CO",US,39.58,-105.2663
"Multnomah, OR",US,45.5146,-122.5863
"Polk, OR",US,44.9267,-123.4919
"Deschutes, OR",US,43.8325,-121.2617
"McHenry, IL",US,42.3334,-88.2668
"Lake, IL",US,42.3689,-87.8272
"Bucks, PA",US,40.4108,-75.2479
"Hanover, VA",US,37.7772,-77.5161
"Lancaster, SC",US,34.7253,-80.6771
"Sullivan, TN",US,36.4933,-82.3452
"Johnson, IN",US,39.4638,-86.1345
"Howard, IN",US,40.4483,-86.1345
"St. Joseph, IN",US,41.6228,-86.3377
"Knox, NE",US,42.6712,-97.8722
"Stark, OH",US,40.8685,-81.2519
"Anoka, MN",US,45.3293,-93.2197
"Olmsted, MN",US,43.9952,-92.3814
"Summit, UT",US,40.8298,-110.9984
"Fairfield, CT",US,41.256,-73.3709
"Litchfield, CT",US,41.7866,-73.2765
"Orleans, LA",US,29.9511,-90.0715
"Pennington, SD",US,43.8901,-102.2548
"Beadle, SD",US,44.4797,-98.2213
"Charles Mix, SD",US,43.0985,-98.3965
"Davison, SD",US,43.7242,-98.2213
"Minnehaha, SD",US,43.6632,-96.8351
"Bon Homme, SD",US,42.9815,-97.8722
"Socorro, NM",US,33.8837,-106.7235
"Bernalillo, NM",US,35.0178,-106.6291
"Oakland, MI",US,42.5922,-83.3362
"Wayne, MI",US,42.2791,-83.3362
"New Castle, DE",US,39.5393,-75.6674
,Cuba,22,-80
,Guyana,5,-58.75
Australian Capital Territory,Australia,-35.4735,149.0124
United Kingdom,United Kingdom,55.3781,-3.4360000000000004
,Kazakhstan,48.0196,66.9237
French Polynesia,France,-17.6797,149.4068
Manitoba,Canada,53.7609,-98.8139
Saskatchewan,Canada,52.9399,-106.4509
,Ethiopia,9.145,40.4897
,Sudan,12.8628,30.2176
,Guinea,9.9456,-9.6966
Grand Princess,Canada,37.6489,-122.6655
,Kenya,-0.0236,37.9062
,Antigua and Barbuda,17.0608,-61.7964
Alabama,US,32.3182,-86.9023
,Uruguay,-32.5228,-55.7658
,Ghana,7.9465,-1.0232
Puerto Rico,US,18.2208,-66.5901
,Namibia,-22.9576,18.4904
,Seychelles,-4.6796,55.492
,Trinidad and Tobago,10.6918,-61.2225
,Venezuela,6.4238,-66.5897
,Eswatini,-26.5225,31.4659
,Gabon,-0.8037,11.6094
,Guatemala,15.7835,-90.2308
,Mauritania,21.0079,10.9408
,Rwanda,-1.9403,29.8739
,Saint Lucia,13.9094,-60.9789
,Saint Vincent and the Grenadines,12.9843,-61.2872
,Suriname,3.9193,-56.0278
French Guiana,France,3.9339,-53.1258
Guam,US,13.4443,144.7937
,Kosovo,42.6026,20.903000000000002
Newfoundland and Labrador,Canada,53.1355,-57.6604
Prince Edward Island,Canada,46.5107,-63.4168
,Central African Republic,6.6111,20.9394
,Congo (Brazzaville),-4.0383,21.7587
,Equatorial Guinea,1.5,10
Mayotte,France,-12.8275,45.1662
,Uzbekistan,41.3775,64.5853
Netherlands,Netherlands,52.1326,5.2913
Nova Scotia,Canada,44.681999999999995,-63.7443
Guadeloupe,France,16.25,-61.5833
,Benin,9.3077,2.3158
,Liberia,6.4281,-9.4295
Curacao,Netherlands,12.1696,-68.99
,Somalia,5.1521,46.1996
,Tanzania,-6.369,34.8888
Virgin Islands,US,18.3358,-64.8963
Cayman Islands,United Kingdom,19.3133,-81.2546
Reunion,France,-21.1351,55.2471
,Barbados,13.1939,-59.5432
,Montenegro,42.5,19.3
,Kyrgyzstan,41.2044,74.7661
,Mauritius,-20.2,57.5
Aruba,Netherlands,12.5186,-70.0358
,Zambia,-15.4167,28.2833
,Djibouti,11.8251,42.5903
,"Gambia, The",13.4432,-15.3101
Montserrat,United Kingdom,16.7425,-62.1874
,"Bahamas, The",25.034300000000002,-77.3963
Greenland,Denmark,71.7069,-42.6043
New Caledonia,France,-20.9043,165.618
Bermuda,United Kingdom,32.3078,-64.7505
,Chad,15.4542,18.7322
,El Salvador,13.7942,-88.8965
,Fiji,-17.7134,178.065
,Nicaragua,12.8654,-85.2072
,Madagascar,-18.7669,46.8691
,Haiti,18.9712,-72.2852
,Angola,-11.2027,17.8739
,Cabo Verde,16.5388,-23.0418
Sint Maarten,Netherlands,18.0425,-63.0548
,Niger,17.6078,8.0817
,Papua New Guinea,-6.315,143.9555
Isle of Man,United Kingdom,54.2361,-4.5481
,Zimbabwe,-20,30
Northwest Territories,Canada,64.8255,-124.8457
,Cape Verde,15.1111,-23.6167
,East Timor,-8.55,125.56
,Eritrea,15.1794,39.7823
,Uganda,1,32
,Dominica,15.415,-61.371
,Grenada,12.1165,-61.678999999999995
,Mozambique,-18.6657,35.5296
,Syria,34.8021,38.9968
,Timor-Leste,-8.8742,125.7275
,Guadeloupe,16.265,-61.551
,Reunion,-21.1151,55.5364
,French Guiana,3.9339,-53.1258
,Mayotte,-12.8275,45.1662
United States Virgin Islands,US,18.3358,-64.8963
US,US,37.0902,-95.7129
,Greenland,72,-40
,Guam,13.4443,144.7937
,Guernsey,49.45,-2.58
,Jersey,49.19,-2.11
,Puerto Rico,18.2,-66.5
,Republic of the Congo,-1.44,15.556
,The Bahamas,24.25,-76
,The Gambia,13.4667,-16.6
