date_disclosed,country,ifc_country_code,sector,project_name,project_number,company_name,status,risk_management_investment,guarantee_investment,loan_investment,equity_investment,total_investment
2018-05-16T00:00:00Z,Western Africa Region,WAN,Financial Institutions,ABI SME RSF,41251,ABI Group RSF,Pending Approval,NA,46.72,NA,NA,46.72
2018-05-16T00:00:00Z,Western Africa Region,WAN,Financial Institutions,ABI AGRI RSF,41465,ABI Group RSF,Pending Approval,NA,46.72,NA,NA,46.72
2018-05-16T00:00:00Z,India,IND,Financial Institutions,HDB Financial Services,40789,HDB FINANCIAL SERVICES LIMITED,Active,NA,NA,144.5,NA,144.5
2018-05-14T00:00:00Z,Malawi,MAL,Agribusiness and Forestry,Global Tea,38327,GLOBAL TEA AND COMMODITIES LTD,Active,NA,NA,4,NA,4
2018-05-14T00:00:00Z,China,CHA,Health and Education,China EDU Group,40453,CHINA EDUCATION GROUP HOLDINGS LIMITED,Active,NA,NA,45,30,75
2018-05-14T00:00:00Z,Ethiopia,ETH,Manufacturing,Juniper Glass,36680,JUNIPER GLASS INDUSTRIES SC,Pending Approval,NA,NA,20,NA,20
2018-05-11T00:00:00Z,Sri Lanka,SRI,Financial Institutions,Central Fin Agri,41293,CENTRAL FINANCE COMPANY PLC,Active,NA,NA,NA,NA,NA
2018-05-08T00:00:00Z,Iraq,IRQ,other,Magma Square,37642,MALIA INVEST HOLDING SAL,Active,NA,NA,6,NA,6
2018-05-08T00:00:00Z,India,IND,Financial Institutions,DARP SPV EARC,40559,ENCORE ASSET RECONSTRUCTION COMPANY,Pending Approval,NA,NA,50.16,NA,50.16
2018-05-08T00:00:00Z,South Africa,SOU,Financial Institutions,BPL Sr Loan,40920,BUSINESS PARTNERS LIMITED,Active,NA,NA,45.75,NA,45.75
2018-05-07T00:00:00Z,Myanmar,BUA,Financial Institutions,KHMF Equity&Loan,40355,KEB HANA MICROFINANCE LIMITED,Active,NA,NA,10,3,13
2018-05-07T00:00:00Z,India,IND,Financial Institutions,Arohan Fin,41105,AROHAN FINANCIAL SERVICES PRIVATE LIMITED,Active,NA,NA,14.67,NA,14.67
2018-05-04T00:00:00Z,Sri Lanka,SRI,Financial Institutions,Alliance Loan,41271,ALLIANCE FINANCE COMPANY PLC,Active,0.1,NA,8,NA,8.1
2018-05-03T00:00:00Z,World Region,WLD,Agribusiness and Forestry,Olam Smallholder Crop Financing,40675,OLAM INTERNATIONAL LIMITED,Pending Approval,NA,NA,NA,NA,NA
2018-05-02T00:00:00Z,Cambodia,KAM,Financial Institutions,DCM HKL LCY Bond,41223,HATTHA KAKSEKAR LIMITED,Active,NA,NA,20,NA,20
2018-05-01T00:00:00Z,India,IND,Financial Institutions,HFCII_Aptus,40814,APTUS VALUE HOUSING FINANCE INDIA LIMITED,Active,NA,NA,15.51,NA,15.51
2018-04-30T00:00:00Z,World Region,WLD,Financial Institutions,DCM SCB CVA,39507,RSF Standard Chartered CVA,Pending Approval,NA,NA,NA,NA,NA
2018-04-30T00:00:00Z,Ukraine,UKR,Agribusiness and Forestry,Agrofusion CL,41217,FE INTEGRATED AGROSYSTEMS,Active,NA,NA,17,NA,17
2018-04-27T00:00:00Z,India,IND,Infrastructure,Lithium,40171,LITHIUM URBAN TECHNOLOGIES PVT LTD,Active,NA,NA,NA,7.83,7.83
2018-04-27T00:00:00Z,Tunisia,TUN,Financial Institutions,Attijari Tunisie,41167,BANQUE ATTIJARI DE TUNISIE,Active,NA,NA,46.72,NA,46.72
2018-04-27T00:00:00Z,Cambodia,KAM,Financial Institutions,Amret Senior 18,41294,AMRET PLC,Active,NA,NA,10,NA,10
2018-04-27T00:00:00Z,Indonesia,INS,other,SSIA Ind Est,38964,PT. SURYA SEMESTA INTERNUSA TBK.,Active,NA,NA,57.15,NA,57.15
2018-04-27T00:00:00Z,Mexico,MXC,Health and Education,Clinicas del Azucar Expansion 2017,40669,"CLINICA DEL AZUCAR, S.A.P.I. DE C.V.",Active,NA,NA,NA,4,4
2018-04-27T00:00:00Z,Paraguay,PAR,Agribusiness and Forestry,Agrotec III,40605,AGRIHOLD MANAGEMENT CORP,Active,NA,NA,105,NA,105
2018-04-27T00:00:00Z,Brazil,BRA,Agribusiness and Forestry,Bauducco Growth,40796,Pandurata Alimentos Ltda.,Active,NA,NA,25,NA,25
2018-04-26T00:00:00Z,World Region,WLD,Financial Institutions,GTLP Citi IV,40688,CITIBANK N.A.,Active,NA,NA,600,NA,600
2018-04-25T00:00:00Z,World Region,WLD,Infrastructure,IFC - GIPDF 3,41446,IFC-CIN CLIENTS,Pending Approval,NA,NA,150,NA,150
2018-04-25T00:00:00Z,Kenya,KEN,Manufacturing,Mombasa Gas Terminal Ltd,38907,MOMBASA GAS TERMINAL LTD.,Pending Approval,NA,NA,NA,NA,NA
2018-04-25T00:00:00Z,Indonesia,INS,Infrastructure,PT Bajradaya Sentranusa,40507,"BAJRADAYA SENTRANUSA, PT",Pending Approval,NA,NA,75,7.5,82.5
2018-04-24T00:00:00Z,Vietnam,VNM,Financial Institutions,TPB Senior Loan,41043,TIEN PHONG COMMERCIAL JOINT STOCK BANK,Active,NA,NA,60,NA,60
2018-04-24T00:00:00Z,Colombia,CLM,other,LLP Colombia,40982,LATAM LOGISTIC COL PROPCO COTA 1 S A S,Hold,NA,NA,29.93,NA,29.93
2018-04-23T00:00:00Z,Sri Lanka,SRI,Infrastructure,PickMe,41053,DIGITAL MOBILITY SOLUTIONS LANKA (PRIVATE) LIMITED,Active,NA,NA,NA,2.44,2.44
2018-04-23T00:00:00Z,Cote d'Ivoire,IVC,Financial Institutions,SIB SME RSF II,41091,SIB SME RSF II,Active,NA,17.8,NA,NA,17.8
2018-04-20T00:00:00Z,Bangladesh,BAN,Manufacturing,Omera LPG,40464,OMERA PETROLEUM LIMITED,Active,NA,NA,20,NA,20
2018-04-20T00:00:00Z,Senegal,SEN,Agribusiness and Forestry,Sosagrin-IBS,40131,SOSAGRIN-IBS,Pending Approval,NA,NA,11.68,NA,11.68
2018-04-19T00:00:00Z,Philippines,PHL,Health and Education,Fullerton Health,40383,FULLERTON HEALTHCARE CORPORATION LIMITED,Active,NA,NA,40,NA,40
2018-04-19T00:00:00Z,Lebanon,LEB,Financial Institutions,CL SSL MCPP,41060,CREDIT LIBANAIS SAL,Active,1,NA,50,NA,51
2018-04-19T00:00:00Z,Georgia,GEO,Financial Institutions,PCG Housing,40961,ProCredit Bank JSC,Pending Approval,NA,NA,NA,NA,NA
2018-04-16T00:00:00Z,Pakistan,PAK,Financial Institutions,Pakistan MRCL,39604,PAKISTAN MORTGAGE REFINANCE COMPANY LIMITED,Pending Approval,NA,NA,NA,NA,NA
2018-04-13T00:00:00Z,India,IND,Manufacturing,Craftsman III,40781,CRAFTSMAN AUTOMATION LIMITED,Active,NA,NA,30,NA,30
2018-04-12T00:00:00Z,Mali,MLI,Agribusiness and Forestry,Gaselia Group,40016,GASELIA INDUSTRIES GROUP S.A.,Active,NA,NA,15.18,NA,15.18
2018-04-11T00:00:00Z,Bangladesh,BAN,Agribusiness and Forestry,PRAN Agro Business Ltd,40929,PRAN AGRO BUSINESS LIMITED,Active,NA,NA,48.93,NA,48.93
2018-04-11T00:00:00Z,Myanmar,BUA,"Tourism, Retail, and Property",FCS Sanctum,39505,"SANCTUM INLE RESORT CO., LTD.",Active,NA,NA,6,NA,6
2018-04-11T00:00:00Z,Brazil,BRA,Agribusiness and Forestry,Sao Manoel,40264,USINA ACUCAREIRA S. MANOEL S.A,Active,NA,NA,NA,NA,NA
2018-04-06T00:00:00Z,Burundi,BUI,Agribusiness and Forestry,Prothem,40902,PROTHEM USINE S.A.,Pending Approval,NA,NA,NA,NA,NA
2018-04-06T00:00:00Z,Mauritania,MTA,Financial Institutions,GTST Mauritania 2018,41069,ADDAX ENERGY SA,Active,NA,NA,40,NA,40
2018-04-06T00:00:00Z,Angola,ANG,"Tourism, Retail, and Property",Hilton Talatona,40181,"ALIANCA GLOBAL HOTEL PROPERTY - HOTELARIA, LDA.",Pending Approval,NA,NA,10,NA,10
2018-04-04T00:00:00Z,Bangladesh,BAN,Manufacturing,Esquire Knit Composite Limited,40683,ESQUIRE KNIT COMPOSITE LIMITED,Pending Approval,NA,NA,22,NA,22
2018-04-02T00:00:00Z,Nigeria,NIR,other,Lagos City Infra,40065,LAGOS STATE GOVERNMENT,Hold,NA,NA,50,NA,50
2018-04-02T00:00:00Z,Eastern Europe Region,EER,Financial Institutions,DARP APS 2,38692,APS INVESTMENTS SARL,Active,NA,NA,116.79,7.88,124.67
2018-04-02T00:00:00Z,Nepal,NEP,Financial Institutions,WCS NMB Nepal,41302,NMB BANK LIMITED,Active,NA,NA,15,NA,15
2018-04-02T00:00:00Z,Romania,ROM,other,GREI Bond,41142,GLOBALWORTH REAL ESTATE INVESTMENTS LIMITED,Active,NA,NA,61.09,NA,61.09
2018-03-30T00:00:00Z,Tunisia,TUN,Financial Institutions,TL Senior Loan,41124,TUNISIE LEASING AND FACTORING,Hold,NA,NA,NA,NA,NA
2018-03-30T00:00:00Z,Kenya,KEN,Manufacturing,National Cement Company,40496,NATIONAL CEMENT COMPANY LIMITED,Active,NA,NA,25,3.5,28.5
2018-03-29T00:00:00Z,Kenya,KEN,Health and Education,UCL Pharma,39904,UNIVERSAL CORPORATION LTD,Pending Approval,NA,NA,10,NA,10
2018-03-26T00:00:00Z,Myanmar,BUA,Infrastructure,Kerry Myanmar,39743,KM TERMINAL AND LOGISTICS LIMITED,Active,NA,NA,15,NA,15
2018-03-26T00:00:00Z,India,IND,Financial Institutions,DARP SPV IndiaRF,40569,INDIA RESURGENCE FUND LP,Active,NA,NA,100,100,200
2018-03-23T00:00:00Z,Argentina,ARG,Financial Institutions,Itau Arg CL,40916,BANCO ITAU ARGENTINA S.A.,Active,NA,NA,50,NA,50
2018-03-23T00:00:00Z,Madagascar,MAG,Agribusiness and Forestry,FCS RE Madagascar Foods,38491,HABIBO INDUSTRIES,Pending Approval,NA,NA,8.63,NA,8.63
2018-03-22T00:00:00Z,Argentina,ARG,Financial Institutions,DCM Gaucho GB,41090,BANCO DE GALICIA Y BUENOS AIRES S.A.,Active,NA,NA,100,NA,100
2018-03-21T00:00:00Z,Nigeria,NIR,Manufacturing,Eleme Fertilizer II,40420,INDORAMA ELEME FERTILIZER AND CHEMICALS LTD,Active,NA,NA,120,NA,120
2018-03-20T00:00:00Z,Madagascar,MAG,Agribusiness and Forestry,BOVIMA,38036,BOVIMA CENTER,Active,NA,NA,3.5,NA,3.5
2018-03-20T00:00:00Z,"Egypt, Arab Republic of",EGT,Manufacturing,EFC Egypt II,41098,EGYPTIAN FERTILIZERS CO. S.A.E,Active,NA,NA,57.15,NA,57.15
2018-03-20T00:00:00Z,Mexico,MXC,Funds,"Alta Growth Capital, Mexico Fund III, L.P.",40809,"ALTA GROWTH CAPITAL, MEXICO FUND III, L.P.",Active,NA,NA,NA,15,15
2018-03-16T00:00:00Z,Mexico,MXC,Financial Institutions,Altum Capital,40637,"ALTUM CP, S.A.P.I. DE C.V. SOFOM E.N.R.",Active,NA,NA,50.8,NA,50.8
2018-03-16T00:00:00Z,Dominican Republic,DOM,Financial Institutions,BHDL III,40922,BANCO MULTIPLE BHD LEON SA,Pending Approval,NA,NA,NA,NA,NA
2018-03-15T00:00:00Z,Ghana,GHA,Financial Institutions,CAL Bank II,41047,CAL BANK LIMITED,Active,NA,NA,50,NA,50
2018-03-14T00:00:00Z,Brazil,BRA,Infrastructure,Gas Natural Acu,40314,UTE GNA I GERACAO DE ENERGIA S.A.,Active,NA,NA,288,NA,288
2018-03-13T00:00:00Z,Greece,GRE,Financial Institutions,DARP Intrum,40344,DARP SPV Intrum,Hold,NA,NA,90.72,NA,90.72
2018-03-09T00:00:00Z,Kenya,KEN,Health and Education,Trivitron Africa,39552,TRIVITRON HEALTHCARE AFRICA B.V.,Pending Approval,NA,NA,2.75,NA,2.75
2018-03-09T00:00:00Z,Romania,ROM,other,NEPI Bond,38149,NE PROPERTY B.V.,Active,NA,NA,55.71,NA,55.71
2018-03-05T00:00:00Z,Argentina,ARG,Financial Institutions,BIND CL,40429,BANCO INDUSTRIAL S.A.,Active,NA,NA,55,NA,55
2018-03-01T00:00:00Z,Bangladesh,BAN,Financial Institutions,DBL Syndication,41076,DHAKA BANK LTD.,Active,NA,NA,10,NA,10
2018-02-28T00:00:00Z,Bangladesh,BAN,Financial Institutions,ONE Bank Debt,39532,ONE BANK LIMITED,Active,NA,NA,50,NA,50
2018-02-28T00:00:00Z,Bangladesh,BAN,Financial Institutions,Bank Asia-Green,41088,BANK ASIA LTD,Active,NA,NA,40,NA,40
2018-02-28T00:00:00Z,Bangladesh,BAN,Financial Institutions,WCSS Pubali Bank,37955,PUBALI BANK LIMITED,Active,NA,NA,100,NA,100
2018-02-27T00:00:00Z,Bangladesh,BAN,Financial Institutions,RSF HSBC BD,40874,RSF HSBC Bangladesh,Pending Approval,NA,NA,NA,NA,NA
2018-02-26T00:00:00Z,Bangladesh,BAN,Financial Institutions,IDLC Finance,38777,IDLC Finance Limited,Active,NA,NA,NA,NA,NA
2018-02-26T00:00:00Z,Kenya,KEN,Financial Institutions,Co-op Bank III,41133,THE CO-OPERATIVE BANK OF KENYA LIMITED,Active,NA,NA,150,NA,150
2018-02-23T00:00:00Z,Myanmar,BUA,Funds,"Anthem Asia Myanmar SME Venture Fund, L.P.",40253,"ANTHEM ASIA MYANMAR SME VENTURE FUND, L.P.",Active,NA,NA,NA,250,250
2018-02-23T00:00:00Z,Kenya,KEN,Health and Education,Project Hippo,38280,HOSPITAL HOLDINGS INVESTMENT B.V.,Active,NA,NA,5,22,27
2018-02-22T00:00:00Z,Africa Region,AFR,Financial Institutions,BOA RSF,40553,BANK OF AFRICA GROUP SA,Pending Approval,NA,60,NA,NA,60
2018-02-22T00:00:00Z,India,IND,Agribusiness and Forestry,Jain IV,40251,JAIN IRRIGATION SYSTEMS LIMITED,Active,NA,NA,39.89,NA,39.89
2018-02-21T00:00:00Z,Ukraine,UKR,Agribusiness and Forestry,Nyva CL,40024,OOO SP NYVA PEREYASLAVSHCHYNY,Active,NA,NA,12.5,NA,12.5
2018-02-20T00:00:00Z,India,IND,Financial Institutions,Altico_Masala,40927,ALTICO CAPITAL INDIA LIMITED,Pending Approval,NA,NA,49.86,NA,49.86
2018-02-20T00:00:00Z,Bangladesh,BAN,Infrastructure,SM2PCL,40178,SUMMIT MEGHNAGHAT II POWER COMPANY LIMITED,Pending Approval,5,NA,120,NA,125
2018-02-16T00:00:00Z,India,IND,Financial Institutions,DCM L&THF NCD,40542,L AND T HOUSING FINANCE LIMITED,Active,NA,NA,75,NA,75
2018-02-16T00:00:00Z,World Region,WLD,Financial Institutions,Demica,40125,DEMICA,Active,NA,NA,NA,5,5
2018-02-15T00:00:00Z,India,IND,other,IndoSpace Fund III,40509,INDOSPACE LOGISTICS PARKS III LP,Active,NA,NA,NA,25,25
2018-02-15T00:00:00Z,India,IND,Financial Institutions,DCM PNB HFL Bond,40989,P N B Housing Finance Limited,Active,NA,NA,153.41,NA,153.41
2018-02-12T00:00:00Z,Mexico,MXC,Funds,Angel Ventures Pacific Alliance Fund II,40981,ANGEL VENTURES,Pending Approval,NA,NA,NA,5,5
2018-02-12T00:00:00Z,Colombia,CLM,Financial Institutions,BBVA Col SMEs,40615,BANCO BILBAO VIZCAYA ARGENTARIA COLOMBIA S A,Active,NA,NA,150,NA,150
2018-02-12T00:00:00Z,Sri Lanka,SRI,Financial Institutions,SDB Senior Loan,40660,SANASA DEVELOPMENT BANK LIMITED,Active,NA,NA,15,NA,15
2018-02-08T00:00:00Z,India,IND,Funds,Faering II,40323,FAERING CAPITAL EVOLVING FUND III LIMITED,Active,NA,NA,NA,15.1,15.1
2018-02-08T00:00:00Z,Ukraine,UKR,Agribusiness and Forestry,Astarta IV,40716,"ASTARTA-KYIV,TOV",Active,NA,NA,30,NA,30
2018-02-07T00:00:00Z,China,CHA,Funds,Sinovation IV,41104,SINOVATION FUND IV L.P.,Active,NA,NA,NA,25,25
2018-02-07T00:00:00Z,Brazil,BRA,Financial Institutions,WCS Bansicredi 4131,40600,Banco Cooperativo Sicredi S/A.,Pending Approval,NA,NA,50,NA,50
2018-02-07T00:00:00Z,Mexico,MXC,Health and Education,Genomma Lab,40144,"GENOMMA LAB INTERNACIONAL, S.A.B. DE C.V.",Active,NA,NA,51.42,NA,51.42
2018-02-02T00:00:00Z,World Region,WLD,Financial Institutions,Standard Chartered Bank Trade Finance Risk Sharing Facility,40541,SCB Trade Finance RSF,Active,NA,500,0,NA,500
2018-02-02T00:00:00Z,Africa Region,AFR,Financial Institutions,Barak Trade Finance Facility,39481,BARAK FUND MANAGEMENT LIMITED,Active,NA,NA,60,NA,60
2018-01-31T00:00:00Z,India,IND,Agribusiness and Forestry,Bizongo,40950,SMARTPADDLE TECHNOLOGY PRIVATE LIMITED,Active,NA,NA,NA,4.99,4.99
2018-01-26T00:00:00Z,Africa Region,AFR,Funds,I&p Afrique Entrepreneurs II LP,39903,INVESTISSEURS AND PARTENAIRES AFRIQUE ENTREPRENEURS II,Active,NA,NA,NA,250,250
2018-01-26T00:00:00Z,Kyrgyz Republic,KGZ,Funds,Highland PE Mezz,39831,HIGHLAND PRIVATE EQUITY AND MEZZANINE FUND L.P.,Active,NA,NA,NA,250,250
2018-01-26T00:00:00Z,Rwanda,RWA,Financial Institutions,I&M Rwanda,40545,I AND M BANK (RWANDA) LIMITED,Active,NA,NA,10,NA,10
2018-01-25T00:00:00Z,Sri Lanka,SRI,Financial Institutions,SFCL WMSME,40668,SENKADAGALA FINANCE PLC,Active,NA,NA,15,NA,15
2018-01-25T00:00:00Z,Jordan,JOR,Financial Institutions,Tamweelcom 3,40533,THE JORDAN MICRO FINANCE COMPANY,Active,NA,NA,10,NA,10
2018-01-24T00:00:00Z,Iraq,IRQ,"Telecommunications, Media, and Technology",Zain Iraq II,39715,ATHEER TELECOM IRAQ LIMITED,Active,NA,NA,100,NA,100
2018-01-24T00:00:00Z,Cape Verde,CAP,Financial Institutions,BCN SME,39745,BANCO CABOVERDIANO DE NEGOCIOS,Active,NA,NA,6.11,NA,6.11
2018-01-24T00:00:00Z,World Region,WLD,Financial Institutions,DCM CRT CACIB II,39675,RISK SHARING FACILITY CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,Active,NA,85,NA,NA,85
2018-01-23T00:00:00Z,Comoros,COM,"Telecommunications, Media, and Technology",Telco SA,37209,TELCO SA,Pending Approval,NA,NA,15.88,NA,15.88
2018-01-22T00:00:00Z,Africa Region,AFR,Financial Institutions,GTST Sahara,40141,SAHARA GROUP,Active,NA,100,NA,NA,100
2018-01-17T00:00:00Z,East Asia and Pacific Region,EAP,Financial Institutions,DARP SPV CW2,40665,CLEARWATER CAPITAL PARTNERS ESG I LTD,Active,NA,NA,75,NA,75
2018-01-16T00:00:00Z,India,IND,Financial Institutions,DCM ABFL Green Bond,40557,ADITYA BIRLA FINANCE LIMITED,Active,NA,NA,153.41,NA,153.41
2018-01-12T00:00:00Z,Kosovo,XKS,Financial Institutions,KS MFI Loan AFK,41012,AGENCY FOR FINANCE IN KOSOVO,Active,NA,NA,0.86,NA,0.86
2018-01-10T00:00:00Z,Indonesia,INS,Agribusiness and Forestry,Nabati Indonesia,40460,"KALDU SARI NABATI INDONESIA, PT",Active,NA,NA,44,NA,44
2018-01-09T00:00:00Z,Kosovo,XKS,Financial Institutions,KS MFI Loan KEP,40428,KEP TRUST,Active,NA,NA,1.71,NA,1.71
2018-01-09T00:00:00Z,India,IND,Infrastructure,Rewa Mahindra,40646,Mahindra Renewables Private Limited,Active,NA,NA,51.09,NA,51.09
2018-01-08T00:00:00Z,Chile,CHL,Financial Institutions,Los Heroes CL,40295,CAJA DE COMPENSACION DE ASIGNACION FAMILIAR LOS HEROES,Active,NA,NA,50,NA,50
2018-01-08T00:00:00Z,China,CHA,Agribusiness and Forestry,Morris Hong Kong,40057,MORRIS HOLDINGS LIMITED,Active,NA,NA,26,NA,26
2018-01-08T00:00:00Z,Dominican Republic,DOM,"Tourism, Retail, and Property",Tropicalia,38846,"INVERSIONES CUATRO ESTACIONES, SA.S.",Pending Approval,NA,NA,45.5,NA,45.5
2018-01-05T00:00:00Z,Colombia,CLM,Infrastructure,DCM EPSA Green Bonds,39800,EMPRESA DE ENERGIA DEL PACIFICO S A E S P,Active,NA,NA,73.65,NA,73.65
2018-01-02T00:00:00Z,Philippines,PHL,Infrastructure,Energy Dev III,39842,ENERGY DEVELOPMENT CORPORATION,Active,NA,NA,90,NA,90
2018-01-02T00:00:00Z,China,CHA,Infrastructure,Concord NE,38636,Concord New Energy Group Limited,Active,NA,NA,60.25,NA,60.25
2017-12-27T00:00:00Z,Armenia,ARM,Infrastructure,Yerevan CCGT,39630,ARMPOWER CSJC,Active,3,NA,62,NA,65
2017-12-22T00:00:00Z,Tajikistan,TJK,Agribusiness and Forestry,Tajero WrCap,40023,Tajero LLC,Active,NA,NA,2,NA,2
2017-12-21T00:00:00Z,Jordan,JOR,Health and Education,Hikma expansion,37324,HIKMA PHARMACEUTICALS PUBLIC LIMITED COMPANY,Pending Approval,NA,NA,150,NA,150
2017-12-19T00:00:00Z,Brazil,BRA,Infrastructure,Mandae 2017,40729,MANDAE SERVICIOS DE CONSULTORIA EM LOGISTICA S / A,Active,NA,NA,NA,2.5,2.5
2017-12-18T00:00:00Z,India,IND,Financial Institutions,Coverfox,40623,GLITTERBUG TECHNOLOGIES PRIVATE LIMITED,Active,NA,NA,NA,7,7
2017-12-15T00:00:00Z,World Region,WLD,Financial Institutions,Branch,40402,Branch International Inc,Active,NA,NA,NA,3,3
2017-12-14T00:00:00Z,Kazakhstan,KAZ,Financial Institutions,KMF-HALP,40476,MICROFINANCE ORGANIZATION KMF LLC,Active,NA,NA,85,NA,85
2017-12-12T00:00:00Z,Brazil,BRA,Financial Institutions,XP Investimentos,39508,XP INVESTIMENTOS S.A.,Active,NA,NA,100,NA,100
2017-12-08T00:00:00Z,Philippines,PHL,Financial Institutions,DCM BDO Green,40419,"BDO UNIBANK, INC.",Active,NA,NA,150,NA,150
2017-12-08T00:00:00Z,Africa Region,AFR,Funds,"Africa Renewable Energy Fund, L.P.",39225,"AFRICA RENEWABLE ENERGY FUND, L.P.",Active,NA,NA,NA,NA,NA
2017-12-08T00:00:00Z,China,CHA,other,Baidu MCC Gender,40399,CHONGQING BAIDU MICROLOAN CO LTD,Active,NA,NA,102.79,NA,102.79
2017-12-08T00:00:00Z,India,IND,Funds,"LIGHTHOUSE INDIA FUND III, LIMITED",40680,"LIGHTHOUSE INDIA FUND III, LIMITED",Active,NA,NA,NA,20,20
2017-12-06T00:00:00Z,Tanzania,TAN,Health and Education,Pyramid Pacific,40237,PYRAMID PHARMA LIMITED,Active,NA,NA,NA,7.5,7.5
2017-12-06T00:00:00Z,Colombia,CLM,Financial Institutions,Itau-CBC Subdebt,40562,ITAU CORPBANCA COLOMBIA SA,Active,NA,NA,80,NA,80
