LearningPlatformUsefulnessArxiv,LearningPlatformUsefulnessBlogs,LearningPlatformUsefulnessCollege,LearningPlatformUsefulnessCompany,LearningPlatformUsefulnessConferences,LearningPlatformUsefulnessFriends,LearningPlatformUsefulnessKaggle,LearningPlatformUsefulnessNewsletters,LearningPlatformUsefulnessCommunities,LearningPlatformUsefulnessDocumentation,LearningPlatformUsefulnessCourses,LearningPlatformUsefulnessProjects,LearningPlatformUsefulnessPodcasts,LearningPlatformUsefulnessSO,LearningPlatformUsefulnessTextbook,LearningPlatformUsefulnessTradeBook,LearningPlatformUsefulnessTutoring,LearningPlatformUsefulnessYouTube,CurrentJobTitleSelect,MLMethodNextYearSelect,WorkChallengeFrequencyPolitics,WorkChallengeFrequencyUnusedResults,WorkChallengeFrequencyUnusefulInstrumenting,WorkChallengeFrequencyDeployment,WorkChallengeFrequencyDirtyData,WorkChallengeFrequencyExplaining,WorkChallengeFrequencyPass,WorkChallengeFrequencyIntegration,WorkChallengeFrequencyTalent,WorkChallengeFrequencyDataFunds,WorkChallengeFrequencyDomainExpertise,WorkChallengeFrequencyML,WorkChallengeFrequencyTools,WorkChallengeFrequencyExpectations,WorkChallengeFrequencyITCoordination,WorkChallengeFrequencyHiringFunds,WorkChallengeFrequencyPrivacy,WorkChallengeFrequencyScaling,WorkChallengeFrequencyEnvironments,WorkChallengeFrequencyClarity,WorkChallengeFrequencyDataAccess,WorkChallengeFrequencyOtherSelect,WorkInternalVsExternalTools,FormalEducation,Age,DataScienceIdentitySelect,JobSatisfaction
Somewhat useful,Not Useful,NA,NA,Not Useful,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,Scientist/Researcher,Deep learning,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entirely internal,Doctoral degree,33,No,7
NA,Somewhat useful,Not Useful,NA,NA,NA,Somewhat useful,NA,NA,Very useful,Very useful,NA,NA,NA,Very useful,NA,NA,NA,Other,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,Often,NA,NA,NA,NA,NA,Sometimes,NA,Most of the time,NA,More external than internal,Some college/university study without earning a bachelor's degree,21,Sort of (Explain more),5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,Very useful,NA,NA,Somewhat useful,NA,NA,NA,Software Developer/Software Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Master's degree,NA,No,8
Very useful,NA,Very useful,Somewhat useful,Somewhat useful,NA,NA,NA,NA,Somewhat useful,Somewhat useful,NA,NA,Very useful,Very useful,NA,NA,NA,Data Analyst,Genetic & Evolutionary Algorithms,NA,NA,NA,Sometimes,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,Often,Sometimes,NA,Approximately half internal and half external,Bachelor's degree,22,Yes,8
NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,Very useful,Engineer,I don't plan on learning a new ML/DS method,NA,NA,NA,NA,Often,NA,NA,NA,Often,NA,Often,NA,NA,NA,NA,NA,Sometimes,NA,NA,Sometimes,NA,NA,More external than internal,Master's degree,51,Yes,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,Somewhat useful,NA,Very useful,NA,NA,NA,NA,Data Scientist,"Ensemble Methods (e.g. boosting, bagging)",Most of the time,NA,NA,NA,Often,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,Most of the time,Most of the time,NA,NA,More internal than external,Master's degree,34,NA,9
Very useful,Very useful,NA,Somewhat useful,Somewhat useful,NA,Somewhat useful,NA,Somewhat useful,NA,NA,Very useful,Somewhat useful,Somewhat useful,Very useful,NA,NA,Somewhat useful,Data Scientist,Factor Analysis,NA,NA,NA,Often,Sometimes,NA,NA,NA,Most of the time,NA,NA,NA,Most of the time,NA,Often,NA,NA,Most of the time,Often,NA,Most of the time,NA,Entirely internal,I did not complete any formal education past high school,41,NA,8
Somewhat useful,NA,Very useful,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Somewhat useful,Somewhat useful,NA,Somewhat useful,Somewhat useful,NA,Genetic & Evolutionary Algorithms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,32,Yes,NA
NA,Very useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Business Analyst,Proprietary Algorithms,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,Often,NA,NA,NA,NA,NA,NA,Entirely internal,Some college/university study without earning a bachelor's degree,53,No,6
NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Very useful,Very useful,NA,Somewhat useful,Somewhat useful,NA,NA,Very useful,Software Developer/Software Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,Rarely,NA,More internal than external,Master's degree,29,Sort of (Explain more),9
Very useful,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,Very useful,NA,NA,NA,Data Scientist,Proprietary Algorithms,Often,NA,NA,Often,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,Sometimes,NA,Entirely internal,Doctoral degree,36,NA,7
Somewhat useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Machine Learning Engineer,Deep learning,NA,NA,Often,NA,Sometimes,NA,NA,NA,Sometimes,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Master's degree,34,Yes,9
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Somewhat useful,Somewhat useful,NA,Very useful,Somewhat useful,NA,NA,NA,Engineer,Deep learning,NA,NA,NA,NA,Sometimes,Sometimes,NA,NA,NA,NA,Often,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,Sometimes,NA,Entirely internal,Doctoral degree,35,Sort of (Explain more),8
NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Social Network Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Professional degree,23,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,48,Sort of (Explain more),NA
Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,NA,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Machine Learning Engineer,Deep learning,NA,NA,NA,Sometimes,Often,NA,NA,NA,NA,NA,NA,Often,Often,Sometimes,Sometimes,NA,NA,NA,NA,NA,Sometimes,NA,More internal than external,Master's degree,37,Yes,9
NA,Very useful,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,Other,I don't plan on learning a new ML/DS method,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,30,No,NA
Somewhat useful,Somewhat useful,NA,Very useful,NA,NA,NA,NA,NA,Very useful,Somewhat useful,Very useful,NA,Somewhat useful,Very useful,NA,NA,NA,Software Developer/Software Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,43,Yes,NA
NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Operations Research Practitioner,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,Entirely external,Doctoral degree,33,Sort of (Explain more),NA
Somewhat useful,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,Somewhat useful,Somewhat useful,NA,NA,NA,Data Scientist,Monte Carlo Methods,Rarely,Often,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,Sometimes,Often,NA,NA,NA,Often,Most of the time,Sometimes,NA,More internal than external,Master's degree,30,NA,6
NA,Very useful,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,Very useful,NA,Somewhat useful,Somewhat useful,NA,NA,NA,Data Scientist,Monte Carlo Methods,NA,NA,NA,NA,NA,NA,Rarely,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,Often,Often,NA,NA,More internal than external,Master's degree,30,NA,7
NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Somewhat useful,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some college/university study without earning a bachelor's degree,22,No,NA
NA,NA,NA,NA,NA,NA,Somewhat useful,NA,Very useful,NA,Very useful,NA,NA,Very useful,Very useful,NA,NA,NA,Data Scientist,Deep learning,Most of the time,Most of the time,NA,NA,Most of the time,Most of the time,NA,Most of the time,NA,NA,NA,NA,NA,Most of the time,Most of the time,NA,NA,Most of the time,NA,NA,NA,NA,Entirely internal,Master's degree,28,NA,8
NA,Very useful,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,Very useful,Somewhat useful,NA,NA,NA,Data Scientist,Neural Nets,NA,NA,NA,NA,Most of the time,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,Most of the time,Most of the time,NA,More external than internal,Some college/university study without earning a bachelor's degree,26,NA,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,Somewhat useful,NA,NA,NA,NA,NA,NA,Software Developer/Software Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some college/university study without earning a bachelor's degree,34,No,NA
NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,24,No,NA
Very useful,Somewhat useful,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,Very useful,NA,NA,NA,Scientist/Researcher,Deep learning,Rarely,NA,NA,NA,Often,NA,NA,NA,Rarely,Most of the time,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,Most of the time,NA,More internal than external,Doctoral degree,27,Yes,9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,25,No,NA
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,24,Yes,NA
Not Useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Business Analyst,NA,Rarely,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entirely internal,Master's degree,30,No,1 - Highly Dissatisfied
NA,NA,Very useful,NA,NA,Very useful,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,Somewhat useful,Scientist/Researcher,Social Network Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Do not know,Doctoral degree,32,Sort of (Explain more),6
Very useful,Very useful,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,Very useful,NA,Very useful,NA,NA,NA,Very useful,NA,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,30,Yes,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA
NA,Somewhat useful,NA,NA,NA,NA,Somewhat useful,NA,NA,Very useful,Very useful,Very useful,NA,Very useful,Somewhat useful,NA,NA,NA,Other,Time Series Analysis,NA,NA,NA,NA,NA,Often,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,Entirely internal,Master's degree,63,Yes,7
NA,NA,Very useful,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,22,Sort of (Explain more),NA
NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,NA,Very useful,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Professional degree,40,No,NA
Very useful,Very useful,Somewhat useful,NA,Somewhat useful,NA,Somewhat useful,NA,Somewhat useful,Very useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,24,Yes,NA
NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,NA,NA,Very useful,NA,Very useful,Very useful,NA,NA,NA,Researcher,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entirely internal,Master's degree,32,Yes,9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,NA,NA,NA,NA,NA,Most of the time,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,34,Yes,10 - Highly Satisfied
Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Somewhat useful,NA,NA,NA,Scientist/Researcher,Deep learning,NA,Sometimes,Sometimes,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,More external than internal,Doctoral degree,31,Yes,6
NA,Somewhat useful,NA,NA,NA,Very useful,Somewhat useful,NA,NA,NA,Very useful,Very useful,NA,NA,NA,NA,NA,Somewhat useful,Data Analyst,Neural Nets,Sometimes,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More external than internal,Bachelor's degree,24,Sort of (Explain more),7
NA,Somewhat useful,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Very useful,NA,NA,Very useful,NA,NA,NA,Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,54,Sort of (Explain more),NA
NA,NA,NA,Somewhat useful,NA,NA,Somewhat useful,NA,NA,Very useful,Somewhat useful,NA,NA,NA,NA,NA,Very useful,NA,Other,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA
NA,Very useful,Very useful,NA,Very useful,NA,Very useful,NA,NA,NA,NA,Somewhat useful,NA,Somewhat useful,Very useful,NA,NA,Very useful,Data Scientist,Bayesian Methods,Often,Often,NA,NA,Most of the time,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,Entirely internal,Master's degree,29,NA,7
NA,NA,NA,NA,NA,NA,NA,Very useful,Very useful,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Statistician,Survival Analysis,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Do not know,Master's degree,30,Sort of (Explain more),I prefer not to share
Very useful,Very useful,Very useful,NA,NA,NA,Somewhat useful,Somewhat useful,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Somewhat useful,Data Scientist,MARS,NA,Often,NA,NA,NA,NA,NA,NA,NA,Sometimes,Rarely,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,25,NA,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,NA,Data Scientist,Time Series Analysis,Sometimes,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,More external than internal,Doctoral degree,39,NA,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scientist/Researcher,Text Mining,Sometimes,Sometimes,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,Sometimes,NA,Approximately half internal and half external,Doctoral degree,49,Yes,7
Very useful,Somewhat useful,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Somewhat useful,Very useful,NA,NA,Somewhat useful,NA,NA,NA,NA,Bayesian Methods,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,29,Yes,NA
